rep,A,rd,LL,dp,pval,psig
51,10,40,20.125830565713894,-0.705,2.2326540616290913e-10,1
52,10,40,19.28066827245618,-0.74,5.3059678872813265e-10,1
53,10,40,17.611128515480427,-0.705,2.9414258806426119e-09,1
54,10,40,12.17640964581895,-0.73,8.0209269026632057e-07,1
55,10,40,9.631783771840997,-0.715,1.1385836545918515e-05,0
56,10,40,13.443150031828369,-0.645,2.1578305975378242e-07,1
57,10,40,19.900768184087752,-0.69,2.8112390193513193e-10,1
58,10,40,34.67618600321743,-0.77,1.1102230246251565e-16,1
59,10,40,20.591900268104354,-0.755,1.3856615854734855e-10,1
60,10,40,14.333008965518186,-0.695,8.5999681376236481e-08,1
61,10,40,18.888425331504273,-0.74,7.9317441503690134e-10,1
62,10,40,24.506189375939837,-0.72,2.5435209494162336e-12,1
63,10,40,15.96817529853791,-0.6399999999999999,1.5930785690621008e-08,1
64,10,40,15.092345849517564,-0.715,3.9279766550492923e-08,1
65,10,40,16.36446779247131,-0.755,1.0594823685039501e-08,1
66,10,40,13.891181540642439,-0.6749999999999999,1.3575808821553181e-07,1
67,10,40,15.160537422706987,-0.715,3.6612617826392579e-08,1
68,10,40,15.358104274883804,-0.6699999999999999,2.9865981132637387e-08,1
69,10,40,28.53982538411141,-0.7050000000000001,4.1855408028368402e-14,1
70,10,40,21.996624301248204,-0.755,3.2951086303967259e-11,1
71,10,40,17.65669752738142,-0.6649999999999999,2.8069485624726553e-09,1
72,10,40,14.740789623738262,-0.655,5.6450691454656976e-08,1
73,10,40,21.32614232620917,-0.615,6.5388028325230607e-11,1
74,10,40,17.410434673444705,-0.705,3.6147784765461211e-09,1
75,10,40,2.7024147140790795,-0.71,0.02008111085845854,0
76,10,40,24.574175560210527,-0.715,2.3732127374387346e-12,1
77,10,40,19.92637604891818,-0.72,2.7384805534325096e-10,1
78,10,40,12.010509846798213,-0.75,9.5289724277858312e-07,1
79,10,40,12.853059925231335,-0.685,3.9756432668180963e-07,1
80,10,40,14.336918737654798,-0.695,8.5653117820605473e-08,1
81,10,40,13.699887526181945,-0.695,1.6545048220351077e-07,1
82,10,40,9.239712975349192,-0.5850000000000001,1.7174836665190263e-05,0
83,10,40,15.037998312393007,-0.6399999999999999,4.1544170770180244e-08,1
84,10,40,11.645258658703046,-0.71,1.3928503079796428e-06,1
85,10,40,23.33031215013849,-0.71,8.4408036116201401e-12,1
86,10,40,26.895951056859055,-0.67,2.2293278334473143e-13,1
87,10,40,18.028574492005383,-0.705,1.9161450204308039e-09,1
88,10,40,22.775489077188496,-0.74,1.4871770481761359e-11,1
89,10,40,20.681493841105368,-0.745,1.2642864533063403e-10,1
90,10,40,23.44644155060121,-0.715,7.4974471075961446e-12,1
91,10,40,18.68356323621509,-0.73,9.7857755232411137e-10,1
92,10,40,25.174440631005634,-0.73,1.287081552447944e-12,1
93,10,40,14.26832561178332,-0.65,9.1941505964143744e-08,1
94,10,40,9.176790238589634,-0.6799999999999999,1.8347386404382604e-05,0
95,10,40,17.4528520721448,-0.685,3.4606553178662125e-09,1
96,10,40,19.488086479429757,-0.715,4.2900982766269635e-10,1
97,10,40,27.52144858450947,-0.6849999999999999,1.1790568521519162e-13,1
98,10,40,14.936429444217003,-0.69,4.613256443519731e-08,1
99,10,40,12.111424931402185,-0.69,8.5808181871094291e-07,1
0,11,10,2.126666438220406,-0.735,0.039173379846064948,0
1,11,10,2.1843043543099387,-0.695,0.036606869099874872,0
2,11,10,4.052648596753784,-0.76,0.0044136084677217635,0
3,11,10,4.615810180354197,-0.6799999999999999,0.0023787104806887172,0
4,11,10,7.1972562454847235,-0.76,0.00014823365172367264,0
5,11,10,2.396227983818476,-0.725,0.028584640938553396,0
6,11,10,6.23165168223275,-0.775,0.00041502532031201245,0
7,11,10,8.027793427565872,-0.78,6.1509873606313548e-05,0
8,11,10,3.0077228941615886,-0.6950000000000001,0.014181195713231065,0
9,11,10,8.656531267434278,-0.755,3.1700025954872757e-05,0
10,11,10,6.4480736149787,-0.75,0.00032925921260540392,0
11,11,10,15.11060163258894,-0.72,3.8547219416429357e-08,1
